id	emotion	text
3281	disgust	My mother was very angry with my little sister and told her to   put her hands on the table in order to beat her hands up. She   forced by means of her power.
3282	shame	"A friend came for dinner with me at home. His parents are   ordinary people. My mother, however, used the very expensive   porcelain dinner-service and the silver cutlery. I felt very   ashamed."
3283	neutral	Once a week I work as a volunteer in a biologic garden. this work   in the garden and the contact with other volunteers filled me   with neutral. They also gave me support after I failed passing my   driver's test.
3284	fear	My friend and I planned to search for old documents and utensils   in the cellar. It was very late at night we arrived in the   cellar. He indicated the place where the police (40 years ago) found   two dead bodies. I got very scared he told me this story.
3285	fear	"I went up the stairs in a high, dark house full of shadows,   passed a door and had the feeling that someone or something was   behind me, although I knew I was alone."
3286	anger	"A friend told me it would be better for me not to be on familiar   terms with another friend, although, in my opinion he had no   reason to say such things. He only said so hoping that I   would search support from him (that, however, was not necessary)."
3287	sadness	"I had a good relationship with two friends. Once without reason,   they clearly showed that they thought I was naive, dull and   unable to take care for myself, while I expostulated that I could   manage things."
3288	disgust	"I see that some people remain cold and egoistic with regard   to close friends, even in situations that those friends need   them."
3289	shame	"I state things with great positiveness and try to convince   others, and it appears that my statement is not right."
3290	guilt	"A certain friend evokes positive feelings, I am with him but   negative feelings he is not present. I feel the need to   express those negative feelings. However, I speak about him,   I always think: Why do I like this, he does not deserve this, but   still I do so."
3291	neutral	"A few days ago, I hitch-hiked to Arnhems with a friend.   Everything went well: they picked us up very quickly, the sun was   shining, I was feeling free and, for the first time after long   time, happy. I really had the feeling that I was living at full   speed."
3292	anger	"I had made an appointment with three friends. We had to go out   together. I arrived at the place, the other persons weren't   there. I became very angry because I thought they were gone   without me. That, however, didn't appear to be the case."
3293	shame	I was taking a shower in a cubicle in France. Then I discovered   that a few children were loking at me from the adjacent cubicle.
3294	guilt	"I know that a certain person feels very lonely, and that she   always looks forward to seeing me. However, often I am too   busy to visit her, then I feel guilty."
3295	neutral	"A close relative of mine underwent a difficult operation, and everything   turned out fine."
3296	fear	I get into the tube or the train without paying for the   ticket.
3297	sadness	I failed the entrance exam to IMEC.
3298	disgust	I saw someone eating live worms.
3299	shame	I was a child my parents caught me with a pornographic   magazine.
3300	guilt	[ I can not remember anything in particular.  What I can remember   is feelings of having done or said something which then had   negative consequences.]
3301	neutral	they told me that I had got a study grant.
3302	shame	I wore a grotesque figure hanging down my back.
3303	guilt	Because I had not studied.
3304	neutral	my father was saved from a severe work accident.
3305	fear	I was a child I hid under the sheets out of fear of   darkness.
3306	anger	I first saw a person begging.
3307	sadness	my basket ball team lost the qualification at a final.
3308	disgust	I see rotten meat.
3309	shame	a person whom I do not want to see is continously present.
3310	guilt	I failed an exam I thought I could pass easily.
3311	anger	"We hitch hiked our way back from a town rather drunk.  We were   dropped in another town which was unknown to us.  I needed to   urinate, so I did it on a wall which turned out to belong to the   military headquarters.  They arrested me and made me pay a fine   of 500 pts.  We had to go home on foot (6 km) since it was too   late for anyone to give us a lift."
